Personal Protection Strategies,Explore personal protection and home defense considerations.,2023-12-20,2023-12-20,Firearms Shooting Basics,null,active
Awareness and Prevention,Learn how to assess and avoid potentially dangerous situations.,2023-10-10,2023-10-10,Self-Defense Essentials,null,active
Basic Striking Techniques,Master essential striking techniques such as punches and kicks.,2023-10-11,2023-10-11,Self-Defense Essentials,null,active
Escape and Evasion,Discover strategies to escape from holds and grabs.,2023-10-12,2023-10-12,Self-Defense Essentials,null,active
Ground Defense,Gain skills to defend yourself if the confrontation goes to the ground.,2023-10-13,2023-10-14,Self-Defense Essentials,null,active
Use of Everyday Objects,Learn how to use everyday objects for self-defense.,2023-10-15,2023-10-15,Self-Defense Essentials,null,active
Confidence Building,Build self-confidence and assertiveness to deter potential threats.,2023-10-16,2023-10-17,Self-Defense Essentials,null,active
Situational Role-Playing,Practice self-defense scenarios to apply what you've learned.,2023-10-18,2023-10-19,Self-Defense Essentials,null,active
Legal Aspects,Understand the legal aspects of self-defense and use of force.,2023-10-20,2023-10-20,Self-Defense Essentials,null,active
Personal Safety Planning,Develop a personal safety plan tailored to your needs.,2023-10-21,2023-10-22,Self-Defense Essentials,null,active
Fitness and Conditioning,Improve physical fitness to enhance your ability to defend yourself.,2023-10-23,2023-10-23,Self-Defense Essentials,null,active
Mental Toughness, Develop mental resilience and the ability to stay calm under pressure.,2023-10-24,2023-10-24,Self-Defense Essentials,null,active
Self-Exploration,Discover your fashion personality and what styles resonate with you.,2024-01-01,2024-01-01,Signature Style Discovery,null,active
Wardrobe Assessment,Learn how to evaluate your current wardrobe and identify pieces that align with your style.,2024-01-02,2024-01-02,Signature Style Discovery,null,active
Color Analysis, Understand the impact of colors on your appearance and mood.,2024-01-03,2024-01-03,Signature Style Discovery,null,active
Body Shape Analysis,Determine your body shape and the most flattering clothing styles for you.,2024-01-04,2024-01-05,Signature Style Discovery,null,active
Mix and Match,Master the art of mixing and matching outfits for various occasions.,2024-01-06,2024-01-07,Signature Style Discovery,null,active
Accessorizing,Explore the power of accessories in elevating your look.,2024-01-08,2024-01-09,Signature Style Discovery,null,active
Creating Capsule Wardrobes,Build versatile curated collections of clothing for easy styling.,2024-01-10,2024-01-10,Signature Style Discovery,null,active
Shopping Strategies,Gain insights into smart shopping practices and making informed fashion choices.,2024-01-11,2024-01-12,Signature Style Discovery,null,active
Personal Branding,Understand how your style aligns with your personal and professional brand.,2024-01-13,2024-01-14,Signature Style Discovery,null,active
Confidence Boost,Enhance your self-confidence through self-expression via fashion.,2024-01-15,2024-01-16,Signature Style Discovery,null,active
Fashion Trends vs. Timeless Style,Learn to distinguish between fleeting trends and timeless style elements.,2024-01-17,2024-01-18,Signature Style Discovery,null,active
Styling Challenges,Participate in fun styling challenges to apply what you've learned.,2024-01-19,2024-01-19,Signature Style Discovery,null,active
Individual Style Consultation,Receive personalized guidance and recommendations from our stylists.,2024-01-20,2024-01-20,Signature Style Discovery,null,active
Mystery,Books revolve around solving a mystery or crime,2023-12-01,2023-11-01,Storytime,null,active
Romance,Romance novels explore love relationships and emotional connections,2023-11-02,2023-11-02,Storytime,null,active
Fantasy,Magical worlds filled with mythical creatures magic and epic adventures,2023-11-03,2023-11-03,Storytime,null,active
Thriller,Characterized by suspense tension and a fast-paced plot,2023-11-04,2023-11-04,Storytime,null,active
Science Fiction,Takes place in a futuristic and often involves advanced technology space exploration,2023-11-05,2023-11-05,Storytime,null,active
Adventure,Full of action exploration and daring escapades,2023-11-06,2023-11-06,Storytime,null,active
Horror,Aim to frighten and disturb readers ,2023-11-07,2023-11-07,Storytime,null,active
Self-Help,Guidance for personal growth wellness and self-improvement,2023-11-08,2023-11-08,Storytime,null,active
Tabletop RPG Campaigns,Join or run tabletop RPG campaigns including Dungeons & Dragons Pathfinder and more.,2023-11-01,2023-11-02,Game Masters Club,null,active
Board Game Nights,Gather for board game nights featuring a diverse collection of games for all skill levels.,2023-11-03,2023-11-05,Game Masters Club,null,active
Video Game Tournaments, Compete or cooperate in video game tournaments and LAN parties.,2023-11-06,2023-11-09,Game Masters Club,null,active
Game Demos and Workshops,Participate in game demos workshops and tutorials.,2023-11-10,2023-11-12,Game Masters Club,null,active
Game Design Discussions,Explore the art of game design and share your creative ideas.,2023-11-13,2023-11-14,Game Masters Club,null,active
Community Game Library,Access our club's library of board games and RPG resources.,2023-11-17,2023-11-17,Game Masters Club,null,active
Guest Speakers,Learn from industry professionals and game designers.,2023-11-18,2023-11-19,Game Masters Club,null,active
Charity Events,Organize charity gaming events to give back to the community.,2023-11-20,2023-11-20,Game Masters Club,null,active
Movie Screenings,Enjoy regular movie screenings including classics independent films and contemporary releases.,2023-12-01,2023-12-02,Screen Scene Explorers,null,active
Director and Genre Spotlights,Dive deep into the works of directors and explore specific film genres.,2023-12-03,2023-12-04,Screen Scene Explorers,null,active
Film Discussions,Engage in lively discussions about plot character development cinematography and more.,2023-12-05,2023-12-06,Screen Scene Explorers,null,active
Movie Trivia Nights,Test your film knowledge in fun trivia competitions.,2023-12-07,2023-12-08,Screen Scene Explorers,null,active
Guest Speaker Sessions,Learn from industry professionals filmmakers and film critics.,2023-12-09,2023-12-10,Screen Scene Explorers,null,active
Movie Reviews and Critiques,Share your insights and critiques through club publications or online platforms.,2023-12-11,2023-12-12,Screen Scene Explorers,null,active
Script Readings,Experience live script readings and gain an understanding of scriptwriting.,2023-12-13,2023-12-15,Screen Scene Explorers,null,active
Cinematic Workshops,Participate in workshops on topics like film editing cinematography and screenwriting.,2023-12-16,2023-12-18,Screen Scene Explorers,null,active
Filmography Challenges,Explore the filmographies of renowned actors and directors.,2023-12-19,2023-12-20,Screen Scene Explorers,null,active
Music Appreciation Nights,Enjoy regular listening sessions featuring different music genres artists and eras.,2023-12-01,2023-12-02,Music Lovers' Society,null,active
Musical Film Screenings,Watch and discuss music-related films documentaries and biopics.,2023-12-03,2023-12-04,Music Lovers' Society,null,active
Artist and Album Spotlights,Delve deep into the works of beloved artists and iconic albums.,2023-12-05,2023-12-06,Music Lovers' Society,null,active
Music Trivia and Quizzes,Test your music knowledge in friendly trivia competitions.,2023-12-07,2023-12-08,Music Lovers' Society,null,active
Songwriting and Composition Sessions,Explore the art of creating your own music.,2023-12-09,2023-12-17,Music Lovers' Society,null,active
Music History Talks,Engage in discussions about the historical and cultural significance of music.,2023-12-18,2023-12-19,Music Lovers' Society,null,active
Karaoke Nights,Show off your vocal talents in fun karaoke sessions.,2023-12-20,2023-12-20,Music Lovers' Society,null,active
Italian Cuisine,Use of fresh ingredients simple preparation methods and bold flavors,2023-10-24,2023-10-24,Cook with Lisa,null,active
Japanese Cuisine,Strong emphasis on seasonal ingredients presentation and precision in cooking,2023-10-24,2023-10-24,Cook with Lisa,null,active
Mexican Cuisine,Vibrant and spicy flavors,2023-10-25,2023-10-25,Cook with Lisa,null,active
Chinese Cuisine,Wide range of flavors and ingredients. Soy sauce ginger and garlic are frequently used,2023-10-25,2023-10-25,Cook with Lisa,null,active
Indian Cuisine,Diverse and varies by region. It often includes spices such as curry turmeric and cumin,2023-10-26,2023-10-26,Cook with Lisa,null,active
French Cuisine,Sophistication and rich flavors. Buttercream and wine are key ingredients,2023-10-26,2023-10-26,Cook with Lisa,null,active
Thai Cuisine,Taste balances sweet sour salty and spicy flavors,2023-10-27,2023-10-27,Cook with Lisa,null,active
American Cuisine,Taste diverse with regional specialties,2023-10-27,2023-10-27,Cook with Lisa,null,active
Gym,Using exercise equipment at the gym,0001-01-01,0001-01-01,Spidy Excercise,Indoor Exercise,active
Yoga,Practicing yoga to increase flexibility and balance,0001-01-01,0001-01-01,Spidy Excercise,Indoor Exercise,active
Aerobics,Participating in class to improve cardiovascular fitness,0001-01-01,0001-01-01,Spidy Excercise,Indoor Exercise,active
Jump Rope,An effective indoor cardio workout that requires very little space,0001-01-01,0001-01-01,Spidy Excercise,Indoor Exercise,active
Indoor Rock Climbing,A great full-body workout that challenges strength and agility,0001-01-01,0001-01-01,Spidy Excercise,Indoor Exercise,active
Running,Run around your neighborhood or in public parks,0001-01-01,0001-01-01,Spidy Excercise,Outdoor Exercise,active
Mountain Biking,Biking on mixed terrain or forest trails,0001-01-01,0001-01-01,Spidy Excercise,Outdoor Exercise,active
Hiking,Hiking up hills or mountain ,0001-01-01,0001-01-01,Spidy Excercise,Outdoor Exercise,active
Kayaking,Be a fun way to exercise while exploring waterways,0001-01-01,0001-01-01,Spidy Excercise,Outdoor Exercise,active
Beach Volleyball,Combining physical activity with fun in the sun,0001-01-01,0001-01-01,Spidy Excercise,Outdoor Exercise,active
Photographer,Capture photos which can be used for promotional purposes,0001-01-01,0001-01-01,Dance with Lisa,Staff,active
Lighting,Setting up and controlling the lighting,0001-01-01,0001-01-01,Dance with Lisa,Staff,active
Sound,Setting sound equipment to create the desired atmosphere,0001-01-01,0001-01-01,Dance with Lisa,Staff,active
Security guard,Ensure the safety of attendees and performers,0001-01-01,0001-01-01,Dance with Lisa,Staff,active
Manager,Responsible for overseeing the plan coordinating and executing,0001-01-01,0001-01-01,Dance with Lisa,Staff,active
Ballet,Design intricate and graceful movements,0001-01-01,0001-01-01,Dance with Lisa,Choreographers,active
Contemporary,Create dance that blend elements of various dance styles,0001-01-01,0001-01-01,Dance with Lisa,Choreographers,active
Jazz,Create incorporate the syncopated movements with jazz dance,0001-01-01,0001-01-01,Dance with Lisa,Choreographers,active
Hip-Hop,Develop the dance styles of hip-hop popping and breaking,0001-01-01,0001-01-01,Dance with Lisa,Choreographers,active
Folk Dance,Focus on traditional and cultural dances from specific regions,0001-01-01,0001-01-01,Dance with Lisa,Choreographers,active
Hairstylist,Specializes in providing a range of services related to hair care and styling,0001-01-01,0001-01-01,Dance with Lisa,Designer,active
Fashion Designer,Create and design clothing footwear and accessories,0001-01-01,0001-01-01,Dance with Lisa,Designer,active
Graphic Designer,Use visual elements typography and layout techniques to create visual content for various media,0001-01-01,0001-01-01,Dance with Lisa,Designer,active
Makeup Artist,Specializes in enhancing a person's appearance using cosmetics and makeup techniques,0001-01-01,0001-01-01,Dance with Lisa,Designer,active
Nail Technician,Specializes in nail care and beautification,0001-01-01,0001-01-01,Dance with Lisa,Designer,active
Dance Captain,Senior member of the dance ensemble responsible for maintaining the quality,0001-01-01,0001-01-01,Dance with Lisa,Dancer,active
Featured Dancer,Dancers who perform solo,0001-01-01,0001-01-01,Dance with Lisa,Dancer,active
Specialty Dancers,Specialty dancers who bring unique skills or styles to the performance,0001-01-01,0001-01-01,Dance with Lisa,Dancer,active
Backup dancers,Background dancers play essential roles in various forms of dance performances,0001-01-01,0001-01-01,Dance with Lisa,Dancer,active
Contemporary dancers,Specialize in contemporary dance a genre that emerged in the mid-20th century,0001-01-01,0001-01-01,Dance with Lisa,Dancer,active
Italian,Pasta Carbonara,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
Japanese,Miso Soup,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
Thai,Green Curry,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
Korean,Bibimbap,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
French,Ratatouille,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
Mexican,Tacos,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
USA,Barbecue,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
Indian,Samosa,0001-01-01,0001-01-01,Cook with Lisa,Savory Food,active
Canada,Maple Taffy,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
Italy,Cannoli,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
Switzerland,Chocolate Fondue,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
Japan,Mochi,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
Spain,Churros,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
India,Gulab Jamun,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
Thailand,Mango Sticky Rice,0001-01-01,0001-01-01,Cook with Lisa,Sweet Food,active
Lebanon,Hummus,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Greece,Spanakopita,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Mexico,Guacamole,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Vietnam,Pho Chay,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Turkey,Dolma,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Morocco,Harira,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Russia,Piroshki,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Brazil,Feijoada Vegetariana,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Mediterranean,Falafel,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
China,Mapo Tofu,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Nepal,Dal Bhat,0001-01-01,0001-01-01,Cook with Lisa,Vegetarian Food,active
Writing Style,Assess the author's writing style,0001-01-01,0001-01-01,Storytime,Discuss Novel,active
Plot and Pacing,Evaluate the plot's structure and pacing,0001-01-01,0001-01-01,Storytime,Discuss Novel,active
Characters,Examine the depth and development of the characters they relate,0001-01-01,0001-01-01,Storytime,Discuss Novel,active
Dialogue,Analyze the quality of dialogue in the novel. Is it natural and engaging,0001-01-01,0001-01-01,Storytime,Discuss Novel,active
Emotional Impact,Consider the emotional impact of the novel,0001-01-01,0001-01-01,Storytime,Discuss Novel,active
Consistency and Logic,Look for inconsistencies or logical flaws in the narrative,0001-01-01,0001-01-01,Storytime,Discuss Novel,active
Jane Austen,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
J.K. Rowling,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
Rick Riordan,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
J.R.R. Tolkien,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
C.S. Lewis,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
F. Scott Fitzgerald,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
Suzanne Collins,Favorite novel,0001-01-01,0001-01-01,Storytime,Novelist,active
Pride & Prejudice,Keira Knightle,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Pirates of the Caribbean,Johnny Depp,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
The Lord of the Rings,Orlando Bloom,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
The Hunger Games,Jennifer Lawrence,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Oppenheimer,Cillian Murphy,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Me Before You,Emilia Clarke,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Harry Potter,Tom Felton,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Little Women,Saoirse Ronan,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Inferno,Tom Hanks,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
EMMA,Anya Taylor-Joy,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
The Curious Case of Benjamin Button,Brad Pitt,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
The Prestige,Christian Bale,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Casino Royale,Daniel Craig,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Divergent,Shailene Woodley,0001-01-01,0001-01-01,Storytime,Favorite actor from Movies based on novels,active
Synth-Pop,Teaching Synth-Pop Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
New Wave,Teaching New Wave  Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Pop Rock,Teaching Pop Rock Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Dance-Pop,Teaching Dance-Pop Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Hair Metal/Glam Metal,Teaching Hair Metal/Glam Metal  Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
R&B,Teaching R&B Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Soft Rock,Teaching Soft Rock Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Latin Pop,Teaching SLatin Pop Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Reggae-Pop,Teaching Reggae-Pop Singing,0001-01-01,0001-01-01,Vocal Vibes,Type Of Songs,active
Pink Venom,Teaching how to play Pink Venom on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Shut Down,Teaching how to play Shut Down on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Kill this love,Teaching how to play Kill this love on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
How You Like That,Teaching how to play How You Like That on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Forever Young,Teaching how to play Forever Young on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Really,Teaching how to play Really on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Stay,Teaching how to play Stay on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Lovesick Girls,Teaching how to play Lovesick Girls on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
Ice Cream,Teaching how to play Ice Cream on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
See U Later,Teaching how to play See U Later on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,BLACKPINK's Songs,active
There's Nothing Holdin' Me Back,Teaching how to play There's Nothing Holdin' Me Backon guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Treat You Better,Teaching how to play Treat You Better on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Stitches,Teaching how to play Stitches on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Mercy,Teaching how to play Mercy on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Fallin' All In You,Teaching how to play Fallin' All In You on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
When You're Ready,Teaching how to play When You're Ready on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Particular Taste,Teaching how to play Particular Taste on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Because I Had You,Teaching how to play Because I Had You on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Queen,Teaching how to play Queen on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Perfectly Wrong,Teaching how to play Perfectly Wrong on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Shawn Mendes's Song,active
Kirari,Teaching how to play Kirari on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Seishun Sick,Teaching how to play Seishun Sick on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Tabiji,Teaching how to play Tabiji on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Kaerou,Teaching how to play Kaerou on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
YASASHISA,Teaching how to play YASASHISA on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Shinunoga E-Wa,Teaching how to play Shinunoga E-Wa on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
SAYONARA Baby,Teaching how to play SAYONARA Baby on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Nan-Nan,Teaching how to play Nan-Nan on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Kazeyo,Teaching how to play Kazeyo on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
Workin? Hard,Teaching how to play Workin? Hard on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Fujii Kaze's Songs,active
The Lazy Song,Teaching how to play The Lazy Song on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
Just The Way You Are,Teaching how to play Just The Way You Are on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
Leave the Door Open,Teaching how to play Leave the Door Open on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
Grenade,Teaching how to play Grenade on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
24K Magic,Teaching how to play 24K Magic on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
When I Was Your Man,Teaching how to play When I Was Your Man on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
It Will Rain,Teaching how to play It Will Rain on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
Locked Out Of Heaven,Teaching how to play Locked Out Of Heaven on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
Treasure,Teaching how to play Treasure on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
Versace on the Floor,Teaching how to play Versace on the Floor on guitar,0001-01-01,0001-01-01,Guitar Fundamentals Workshop,Bruno Mars's Songs,active
